PTTAX,VTSMX,AGTHX,VFINX,VBMFX
10.202728,53.559062,40.868396,198.11017,10.94517
10.183012,53.834935,41.03739,198.947789,10.925449
10.212585,53.982727,41.309659,199.5489,10.964891
10.212585,54.031989,41.319046,199.568612,10.964891
10.183012,53.913758,41.290881,199.135022,10.925449
10.143581,52.544239,40.276919,194.247299,10.876146
10.143581,53.296566,40.821454,197.119418,10.876146
10.123866,52.49474,40.192422,194.259173,10.846565
10.123866,52.465044,40.220586,194.160196,10.856425
10.123866,53.009492,40.671237,196.159403,10.856425
10.143581,52.821411,40.558575,195.417125,10.866286
10.123866,52.870905,40.502242,195.417125,10.856425
10.143581,52.851107,40.52102,195.476505,10.866286
10.163297,53.45495,40.999835,197.604378,10.886007
10.183012,53.850915,41.290881,198.900889,10.905728
10.183012,53.544042,41.028003,197.752828,10.905728
10.212585,53.098584,40.690014,196.070333,10.925449
10.212585,53.405456,40.962283,197.347045,10.935309
10.202728,53.722226,41.319046,198.425835,10.935309
10.212585,53.207474,41.056167,196.584984,10.94517
10.227393,53.633134,41.384769,198.148719,10.936278
10.217522,53.45495,41.337824,197.5252,10.926399
10.187905,53.197576,41.187607,196.565186,10.896761
10.178034,53.445053,41.506818,197.49551,10.886883
10.158289,53.445053,41.459876,197.594472,10.867124
10.158289,53.247071,41.337824,196.961061,10.877003
10.128674,53.524244,41.544373,197.861696,10.847365
10.138546,52.821411,40.887173,195.407233,10.847365
10.148417,52.880803,40.840231,195.644753,10.857244
10.158289,52.692722,40.671237,195.041048,10.867124
10.128674,52.672923,40.671237,195.080629,10.837486
10.158289,52.534337,40.52102,194.496707,10.857244
10.158289,52.851107,41.018612,195.684349,10.867124
10.168162,52.989693,41.225162,196.139605,10.877003
10.168162,52.910503,41.187607,195.892179,10.877003
10.178034,52.900601,41.215775,195.872396,10.877003
10.168162,53.157979,41.431711,196.80272,10.867124
10.168162,52.910503,41.196997,196.060442,10.867124
10.158289,52.771916,41.10311,195.714039,10.847365
10.138546,52.554136,40.999835,195.140009,10.817728
10.138546,52.415549,40.699401,194.546195,10.817728
10.168219,52.445245,40.624295,194.51649,10.848412
10.168219,52.06908,40.445913,193.200197,10.848412
10.17811,51.683017,40.154867,191.963066,10.858311
10.168219,51.46524,39.920153,191.181191,10.848412
10.17811,51.425643,39.826265,190.874385,10.868208
10.168219,52.573934,40.736956,195.110319,10.838514
10.148437,52.781814,40.915341,195.941667,10.818718
10.059415,53.464848,41.215775,198.12892,10.709837
10.009959,53.613335,41.093723,198.534703,10.670245
9.980285,53.672731,40.905951,198.257587,10.650449
9.950612,53.801416,40.840231,198.257587,10.610856
9.960502,54.187483,41.196997,199.791616,10.620753
9.980285,54.128087,41.17822,199.524407,10.64055
9.94072,54.395362,41.375379,200.474515,10.600958
9.920937,54.316168,41.272104,200.029151,10.571263
9.920937,54.702231,41.750922,201.513707,10.571263
9.920937,54.870517,41.844807,201.959071,10.571263
9.881372,54.949708,41.901139,202.137226,10.551466
9.881372,55.167488,41.929304,202.928977,10.541568
9.911047,54.83092,41.62887,201.8898,10.581161
9.920937,54.900213,41.675812,202.206498,10.591059
