std,mean,ETFname,log_mean,log_std,sharpe ratio
0.335996414,0.007140643,HDG,0.006576498,0.336191188,0.360880337
1.149486813,-0.036004108,HDGE,-0.042594694,1.147874233,-0.631472192
0.753114443,0.031546949,HDV,0.028710745,0.753299106,0.701917937
1.672141537,0.043963366,HECO,0.02939221,1.733943591,0.291877137
1.256567067,0.047877676,HEDJ,0.039934856,1.262985063,0.590548628
1.055195764,0.013924892,HEEM,0.008361042,1.05606591,0.161080273
1.09019639,0.029850009,HEFA,0.023888832,1.093780118,0.417953385
9.75630557,-0.433173403,JDST,-0.922418058,9.957327586,-0.518499258
0.83414424,0.034830696,JKD,0.031347321,0.835098964,0.708087837
0.916034948,0.033258931,JKE,0.029057029,0.91754074,0.580023442
0.866273192,0.031364713,JKF,0.027610951,0.866988291,0.619018101
0.890118604,0.029853144,JKG,0.025886157,0.891600104,0.541369716
0.95854898,0.024859625,JKH,0.020258393,0.960582341,0.403016702
0.933529103,0.039529085,JKI,0.035161823,0.935288574,0.703827938
1.007073832,0.032363873,JKJ,0.027284166,1.009097049,0.507323349
1.067259204,0.028784453,JKK,0.02307814,1.069812711,0.397107486
1.034580475,0.030735443,JKL,0.025380516,1.035887008,0.471427277
0.454655075,0.015655435,JNK,0.01462269,0.454615616,0.585709655
9.795430178,0.363897993,JNUG,-0.12044648,9.905357473,-0.207916996
0.830610575,0.029991779,JPGE,0.026534803,0.83236535,0.523670674
1.032414859,0.024329811,JPIN,0.018985067,1.035808772,0.30147001
0.958735165,0.044259864,JPMV,0.039666929,0.9582355,0.673592184
3.238060694,0.080018744,JPNL,0.027222502,3.260416724,0.15817783
1.148610587,0.035664146,JPXN,0.029061897,1.150290792,0.441256819
0.892061192,0.015408833,JXI,0.011421269,0.894578812,0.290665023
2.373184618,-0.006020629,KBA,-0.034294036,2.384588726,-0.212313742
1.425526393,0.052888614,KBE,0.042710379,1.428243283,0.568955205
1.429386415,0.047228503,KBWB,0.037000077,1.431852857,0.518914422
0.929282247,0.028589903,KBWD,0.024271282,0.930121805,0.504818752
0.858909311,0.059372562,KBWP,0.055678408,0.858190024,1.077751096
1.46838133,0.061587922,KBWR,0.050791762,1.470480949,0.565756483
1.15091158,0.046078617,KBWY,0.039438393,1.153581282,0.57897302
1.391938018,0.000351682,KCE,-0.009374477,1.39804121,-0.063238615
0.304336761,-0.009476347,KCNY,-0.009941034,0.305283425,-0.511705836
2.368802533,0.054561169,KFYP,0.026366081,2.381760204,0.189375845
0.913333798,0.051766696,KIE,0.047584236,0.914487008,0.924319077
1.68602558,0.058569727,KWEB,0.044350912,1.687856914,0.437077557
2.142840057,-0.075659511,KWT,-0.098601913,2.141988771,-0.618526312
0.780183953,0.030796704,KXI,0.027748036,0.781432597,0.627408017
0.649307616,-0.009924532,LALT,-0.012009289,0.644826209,-0.292143139
5.233265522,0.048874867,LBJ,-0.088666771,5.261233774,-0.301512029
0.560346833,0.008563546,LDRI,0.006996222,0.560417214,0.195900257
0.189345055,0.008923564,LDUR,0.008744286,0.189301647,0.794756605
1.208652471,0.0114653,LVL,0.004152253,1.211369837,0.115980716
0.608019556,0.013638472,LWC,0.011790422,0.608535266,0.292288725
1.557296529,0.018270281,MCHI,0.006149881,1.558918734,0.068498351
2.511512393,-0.030913651,NATR,-0.062414838,2.512721059,-0.390065766
0.85484763,0.033100662,ONEK,0.029434631,0.857315532,0.653684604
0.972694324,0.045561135,ONEQ,0.040818498,0.974462579,0.7432451
0.91344632,0.016786256,OUNZ,0.012626791,0.912458947,0.175845795
1.293185677,0.031371027,PAF,0.023012502,1.294242471,0.356522022
1.141746257,-0.010215408,PAGG,-0.016736756,1.143595726,-0.220173822
1.809324859,0.014259776,PALL,-0.00209107,1.810411008,-0.022118042
1.179706915,0.005339198,PBD,-0.001631816,1.182897594,0.023380805
1.905698951,-0.0091356,PBE,-0.027283143,1.907378317,-0.226444371
0.865886013,0.023569501,PBJ,0.019819783,0.866813876,0.395008014
0.629780916,0.025279036,PBP,0.023289047,0.631577302,0.671255765
0.996138879,0.020276321,PBS,0.015304231,0.99885841,0.307606922
1.509641447,-0.028383654,PBW,-0.039784603,1.511659061,-0.376394824
0.513689065,0.029400076,PCEF,0.02807595,0.514566857,0.989683905
0.454444176,0.029028386,PCY,0.027990272,0.455545664,0.999552111
1.129702452,-0.02028498,PDBC,-0.026665731,1.130773739,-0.377351698
0.95756914,0.031775672,PDN,0.027181391,0.959723605,0.502090242
0.882821806,0.019191809,PDP,0.015290574,0.884508701,0.322091366
1.102339203,0.029353909,PEJ,0.023261981,1.105588864,0.393282617
2.436405698,0.010807087,PEK,-0.018915282,2.443697279,-0.121218636
0.691695472,0.009944228,PERM,0.007554896,0.691918569,0.162250615
0.982315924,0.039748505,PEX,0.034896356,0.986850804,0.602403918
0.849524222,0.05721575,PEY,0.053596696,0.849872511,1.120683154
1.017332664,-0.000275534,PEZ,-0.005461139,1.020276988,-0.043607763
0.379109738,0.019044477,PFF,0.018323777,0.379750839,0.803132792
0.959825819,0.004498548,PFI,-0.000116764,0.962518401,0.010219416
0.315736381,0.010974202,PFIG,0.010476295,0.315624403,0.498345848
0.757149464,0.025895028,PFM,0.023028631,0.757590963,0.589878188
0.465230672,0.016686931,PFXF,0.015602877,0.466033104,0.587431256
1.489991843,0.020090695,PGAL,0.008911808,1.499963129,0.159227766
0.374787134,0.027520451,PGF,0.026813633,0.375617429,1.157638718
0.457464013,0.030070365,PGHY,0.029021404,0.457501561,1.050214971
1.507212528,0.046720907,PGJ,0.035376056,1.507196176,0.390667687
0.38433503,0.024309587,PGX,0.023567087,0.385272482,0.989460646
0.361033122,0.017438091,PHB,0.016786006,0.36105617,0.830459098
0.555932025,-0.010553524,PHDG,-0.012095977,0.555719926,-0.310184217
1.059874575,0.006838328,PHO,0.001227553,1.060452256,0.09871766
0.985955075,0.018322561,PHYS,0.01348011,0.984353486,0.178645437
0.594213721,-0.010463021,PICB,-0.012229669,0.595133864,-0.332228355
2.002654074,0.015153197,PICK,-0.004902928,2.005725079,-4.70E-05
1.231259443,-0.005410303,PID,-0.012997409,1.233732977,-0.124919716
1.168285151,0.000545033,PIE,-0.006285948,1.170689658,-0.041842141
